subject,label,coordinates,LOClabel,location,country,displaydate,displaystart,displayend,Duration,
http://www.wikidata.org/entity/Q5447484,Fifth Battle of Ypres,Point(3.02111 50.9003),Belgium,http://www.wikidata.org/entity/Q31,Belgium,1918/10/2,1918/9/28,1918/10/2,4,
http://www.wikidata.org/entity/Q1998995,Battle of Thiepval Ridge,Point(2.688388888 50.054527777),France,http://www.wikidata.org/entity/Q142,France,1916/9/28,1916/9/25,1916/9/28,3,
http://www.wikidata.org/entity/Q1088364,Battle of the Lys,Point(2.9 50.70555556),Flanders,http://www.wikidata.org/entity/Q234,Belgium,1918/1/1,1918/4/7,1918/4/29,22,
http://www.wikidata.org/entity/Q1144824,Battle of Messines,Point(2.895277777 50.7625),West Flanders,http://www.wikidata.org/entity/Q1113,Belgium,1917/1/1,1917/6/7,1917/6/14,7,
http://www.wikidata.org/entity/Q989093,First Battle of Champagne,Point(4.5 49.0),Champagne-Ardenne,http://www.wikidata.org/entity/Q14103,France,1914/1/1,1914/9/28,1914/10/10,12,
http://www.wikidata.org/entity/Q687572,Battle of the Frontiers,Point((48.6 6.487222)),Lorraine,http://www.wikidata.org/entity/Q1137,Belgium,1914/9/6,1914/8/7,1919/9/13,1863,
http://www.wikidata.org/entity/Q671594,Battle of Liège,Point(5.572222222 50.473888888),Liège,http://www.wikidata.org/entity/Q3992,Belgium,1914/8/16,1914/8/4,1914/8/16,12,
http://www.wikidata.org/entity/Q3636348,Battle of Blanc Mont Ridge,Point(4.5 49.0),Champagne-Ardenne,http://www.wikidata.org/entity/Q14103,France,1916/11/18,1916/7/1,1916/11/17,139,
http://www.wikidata.org/entity/Q426099,Siege of Antwerp,Point(4.4 51.2167),Antwerp,http://www.wikidata.org/entity/Q12892,Belgium,1918/1/1,1918/8/21,1918/9/2,12,
http://www.wikidata.org/entity/Q2462283,Third Battle of the Aisne,Point(3.733333333 49.383333333),Aisne,http://www.wikidata.org/entity/Q41962,France,1918/6/6,1918/5/27,1918/6/6,10,
http://www.wikidata.org/entity/Q132568,Battle of the Somme,Point(2.6975 50.015555555),River Somme,http://www.wikidata.org/entity/Q37646,France,,1917/4/16,1917/5/9,23,
http://www.wikidata.org/entity/Q1063735,Second Battle of the Somme,Point(2.6975 50.015555555),River Somme,http://www.wikidata.org/entity/Q37646,France,1918/10/27,1918/10/3,1918/10/27,24,
http://www.wikidata.org/entity/Q1088364,Battle of the Lys,Point(2.9 50.70555556),Ypres,http://www.wikidata.org/entity/Q102728,Belgium,1914/12/20,1914/12/20,1915/3/17,87,
http://www.wikidata.org/entity/Q1694094,Second Battle of the Aisne,Point(3.6 49.4),Reims,http://www.wikidata.org/entity/Q41876,France,1918/1/1,1918/4/7,1918/4/29,22,
http://www.wikidata.org/entity/Q911448,Battle of Amiens,Point(2.29425 49.893913888),Amiens,http://www.wikidata.org/entity/Q41604,France,1914/9/12,1914/9/5,1914/9/12,7,
http://www.wikidata.org/entity/Q239255,Battle of Arras,Point(2.780833333 50.289722222),Arras,http://www.wikidata.org/entity/Q131329,France,1915/5/25,1915/4/21,1915/5/25,34,
http://www.wikidata.org/entity/Q190712,First Battle of the Marne,Point(3.383333333 49.016666666),Marne,http://www.wikidata.org/entity/Q41983,France,1917/1/1,1917/4/9,1917/5/16,37,
http://www.wikidata.org/entity/Q233219,Second Battle of Ypres,Point(2.940555555 50.899444444),Ypres,http://www.wikidata.org/entity/Q102728,Belgium,1918/1/1,1918/8/8,1918/8/12,4,
http://www.wikidata.org/entity/Q221891,Second Battle of Artois,Point(2.75 50.5),Artois,http://www.wikidata.org/entity/Q159987,France,1915/6/18,1915/5/9,1915/6/18,40,
http://www.wikidata.org/entity/Q925917,Third Battle of Artois,Point(2.75 50.5),Artois,http://www.wikidata.org/entity/Q159987,France,1915/11/4,1915/9/15,1915/11/4,50,
http://www.wikidata.org/entity/Q2221800,First Battle of Artois,Point(2.5 50.5),Artois,http://www.wikidata.org/entity/Q159987,France,1916/6/30,,,0,
http://www.wikidata.org/entity/Q29075160,Battle of the Boar's Head,Point(2.744722222 50.571944444),Artois,http://www.wikidata.org/entity/Q159987,France,1914/12/17,1914/12/17,1915/1/13,27,
http://www.wikidata.org/entity/Q130847,Battle of Verdun,Point(5.421944444 49.208055555),Verdun,http://www.wikidata.org/entity/Q154748,France,,1917/4/16,1917/5/9,23,
http://www.wikidata.org/entity/Q687572,Battle of the Frontiers,Point((49.578611 4.586667)),Ardennes,http://www.wikidata.org/entity/Q151985,Belgium,1916/3/18,1916/3/2,1916/3/18,16,
http://www.wikidata.org/entity/Q1694094,Second Battle of the Aisne,Point(3.6 49.4),Soissons,http://www.wikidata.org/entity/Q167152,France,1915/10/8,1915/9/25,1915/10/14,19,
http://www.wikidata.org/entity/Q1245157,Battle of Loos,Point(2.79417 50.4583),Loos-en-Gohelle,http://www.wikidata.org/entity/Q323727,France,1917/1/1,1917/11/20,1917/12/8,18,
